id,Sorte,Art,Reifezeit,Wiesen_Nr,Baum_Bild,Blueten,Frucht,Schnitt,Baum_Nr,Zustand
15,"Jakob Fischer
",Apfel,,8,,,,,818,
304,"Süßkirsche Sunburst
",Kirsche,,8,,,,,821,
8,"Blutbirne
",Birne,,8,,,,,820,
303,"Regina
",Kirsche,,8,,,,,823,
302,"Hedelfinger Riesenkirsche
",Kirsche,,8,,,,,825,
20,"Gewürzluiken
",Apfel,,8,,,,,822,
4,"Danzinger Kantapfel
",Apfel,,8,,,,,824,
13,"Boskoop
",Apfel,,8,,,,,826,
12,"Brettacher
",Apfel,,9,,,,,,
199,"Birne – unbestimmt
",Birne,,9,,,,,,
199,"Birne – unbestimmt
",Birne,,9,,,,,,
399,"Kirsche – unbestimmt
",Kirsche,,9,,,,,,
203,"Schöneberger
",Zwetschge,,9,,,,,,
205,"Reneclode (Griach)
",Zwetschge,,9,,,,,,
205,"Reneclode (Griach)
",Zwetschge,,9,,,,,,
108,"Wildbirne
",Birne,,9,,,,,,
99,"Apfel – unbestimmt
",Apfel,,9,,,,,,
15,"Jakob Fischer
",Apfel,,9,,,,,,
4,"Conference
",Birne,,9,,,,,,
204,"Wangenheimer 
Frühzwetschge",Zwetschge,,9,,,,,,
399,"Kirsche – unbestimmt
",Kirsche,,9,,,,,,
99,"Apfel – unbestimmt
",Apfel,,10,,,,,,
999,"unbekannter Baum
",unbekannt,,10,,,,,,
99,"Apfel – unbestimmt
",Apfel,,10,,,,,,
99,"Apfel – unbestimmt
",Apfel,,10,,,,,,
999,"unbekannter Baum
",unbekannt,,10,,,,,,
999,"unbekannter Baum
",unbekannt,,10,,,,,,
99,"Apfel – unbestimmt
",Apfel,,10,,,,,,
199,"Birne – unbestimmt
",Birne,,10,,,,,,
99,"Apfel – unbestimmt
",Apfel,,10,,,,,,
501,"Echte  Mispel
",Mispel,,10,,,,,,
501,"Echte  Mispel
",Mispel,,10,,,,,,
99,"Apfel – unbestimmt
",Apfel,,10,,,,,,
199,"Birne – unbestimmt
",Birne,,10,,,,,,
